月日,名前,種類,金額,コード
1月1日,前田 ,地代家賃,9400,10
1月1日,藤井 ,減価償却費,200,8
1月1日,石川 ,消耗品費,2200,13
1月1日,森 ,雑　費,5600,3
1月1日,山崎 ,交通費,6100,7
1月1日,井上 ,地代家賃,7100,6
1月1日,山下 ,地代家賃,4400,1
1月1日,山崎 ,交通費,6200,6
1月1日,中村 ,広告費,1100,16
1月1日,村上 ,保険料,5200,9
1月1日,後藤 ,光熱費,8500,1
1月1日,長谷川 ,租税公課,1200,3
1月1日,小川 ,厚生費,2500,7
1月1日,中村 ,地代家賃,3900,1
1月1日,藤田 ,光熱費,5200,11
1月1日,藤井 ,減価償却費,500,11
1月1日,橋本 ,交通費,6000,1
1月1日,西村 ,保険料,8800,1
1月1日,岡田 ,租税公課,4400,19
1月1日,西村 ,保険料,8800,2
1月1日,遠藤 ,接待費,3200,15
1月1日,前田 ,租税公課,1600,7
1月1日,後藤 ,減価償却費,5800,14
1月1日,中川 ,地代家賃,9000,12
1月1日,石川 ,通信費,7100,13
1月1日,長谷川 ,消耗品費,7500,19
1月1日,加藤 ,広告費,3000,11
1月1日,松本 ,厚生費,8300,13
1月1日,西村 ,交際費,7500,10
1月1日,藤原 ,租税公課,8600,14
1月1日,井上 ,雑　費,3000,3
1月1日,佐々木 ,保険料,9300,14
1月1日,森 ,消耗品費,7200,7
1月1日,木村 ,給　料,9800,5
1月2日,遠藤 ,地代家賃,8300,12
1月2日,石井 ,地代家賃,8600,14
1月2日,阿部 ,光熱費,6700,4
1月2日,前田 ,消耗品費,9400,2
1月2日,田中 ,消耗品費,7300,2
1月2日,中島 ,交際費,6700,5
1月2日,福田 ,厚生費,1000,19
1月2日,木村 ,厚生費,9500,20
1月2日,佐藤 ,地代家賃,9500,4
1月2日,近藤 ,接待費,2000,18
1月2日,後藤 ,広告費,4400,4
1月2日,山口 ,地代家賃,500,2
1月2日,藤井 ,消耗品費,1600,7
1月2日,山田 ,雑　費,2600,8
1月2日,山田 ,消耗品費,6300,10
1月2日,村上 ,消耗品費,6600,16
1月2日,山崎 ,雑　費,8900,14
1月2日,加藤 ,光熱費,200,1
1月2日,藤田 ,給　料,9600,17
1月2日,前田 ,光熱費,3900,19
1月2日,橋本 ,消耗品費,3500,15
1月2日,藤田 ,接待費,1100,16
1月2日,石川 ,給　料,200,2
1月2日,井上 ,交際費,5500,7
1月2日,高橋 ,雑　費,2700,8
1月2日,鈴木 ,交際費,2500,12
1月2日,木村 ,接待費,1800,4
1月2日,青木 ,給　料,400,15
1月2日,西村 ,減価償却費,1500,16
1月2日,山田 ,広告費,6700,10
1月2日,加藤 ,保険料,3700,9
1月2日,井上 ,通信費,7400,4
1月2日,中川 ,厚生費,700,16
1月2日,藤田 ,広告費,300,3
1月2日,近藤 ,厚生費,8300,3
1月2日,福田 ,光熱費,8600,3
1月2日,小川 ,地代家賃,4400,17
1月3日,山口 ,交際費,8300,8
1月3日,阿部 ,消耗品費,5100,11
1月3日,林 ,減価償却費,4100,12
1月3日,中島 ,交際費,7200,7
1月3日,松田 ,通信費,1300,16
1月3日,森 ,地代家賃,7700,17
1月3日,太田 ,広告費,7500,5
1月3日,後藤 ,減価償却費,2100,3
1月3日,橋本 ,厚生費,5200,17
1月3日,井上 ,光熱費,10000,19
1月3日,三浦 ,保険料,6600,15
1月3日,坂本 ,接待費,2400,2
1月3日,中島 ,通信費,500,2
1月3日,松本 ,雑　費,8400,18
1月3日,太田 ,通信費,9700,13
1月3日,伊藤 ,接待費,7600,8
1月3日,山本 ,光熱費,5500,2
1月3日,西村 ,地代家賃,4100,6
1月3日,石川 ,厚生費,8500,4
1月3日,後藤 ,光熱費,6700,7
1月3日,池田 ,広告費,5100,8
1月3日,石川 ,光熱費,1300,8
1月3日,藤井 ,交通費,2200,12
1月3日,森 ,消耗品費,6200,12
1月3日,池田 ,通信費,2100,2
1月3日,伊藤 ,広告費,9000,12
1月3日,中村 ,通信費,100,13
1月3日,青木 ,雑　費,1400,1
1月3日,清水 ,交際費,6200,9
1月4日,加藤 ,接待費,2700,19
1月4日,岡本 ,広告費,2900,17
1月4日,井上 ,光熱費,6000,18
1月4日,松本 ,雑　費,4200,20
1月4日,長谷川 ,租税公課,4300,6
1月4日,山崎 ,減価償却費,9600,5
1月4日,近藤 ,租税公課,700,8
1月4日,中川 ,消耗品費,4800,3
1月4日,佐々木 ,厚生費,8500,16
1月4日,中村 ,租税公課,8400,15
1月4日,加藤 ,通信費,6000,11
1月4日,林 ,租税公課,6800,13
1月4日,中川 ,雑　費,3700,19
1月4日,長谷川 ,地代家賃,4800,1
1月4日,藤田 ,厚生費,4100,4
1月4日,渡辺 ,保険料,1200,12
1月4日,中島 ,広告費,9100,10
1月4日,山田 ,交通費,6800,18
1月4日,中村 ,厚生費,8100,7
1月4日,鈴木 ,接待費,4800,7
1月4日,高橋 ,給　料,7600,3
1月4日,山田 ,消耗品費,3100,10
1月4日,岡田 ,通信費,8100,17
1月4日,清水 ,交際費,8000,17
1月4日,山本 ,消耗品費,3300,1
1月4日,山田 ,給　料,4400,6
1月4日,岡田 ,消耗品費,1700,11
1月4日,加藤 ,交際費,2700,7
1月4日,藤原 ,接待費,5700,5
1月5日,後藤 ,交通費,2600,6
1月5日,林 ,減価償却費,500,3
