月日,名前,種類,金額,コード
1月1日,前田 ,地代家賃,9400,10
1月1日,藤井 ,減価償却費,200,08
1月1日,石川 ,消耗品費,2200,13
1月1日,森 ,雑　費,5600,03
1月1日,山崎 ,交通費,6100,07
1月1日,井上 ,地代家賃,7100,06
1月1日,山下 ,地代家賃,4400,01
1月1日,山崎 ,交通費,6200,06
1月1日,中村 ,広告費,1100,16
1月1日,村上 ,保険料,5200,09
1月1日,後藤 ,光熱費,8500,01
1月1日,長谷川 ,租税公課,1200,03
1月1日,小川 ,厚生費,2500,07
1月1日,中村 ,地代家賃,3900,01
1月1日,藤田 ,光熱費,5200,11
1月1日,藤井 ,減価償却費,500,11
1月1日,橋本 ,交通費,6000,01
1月1日,西村 ,保険料,8800,01
1月1日,岡田 ,租税公課,4400,19
1月1日,西村 ,保険料,8800,02
1月1日,遠藤 ,接待費,3200,15
1月1日,前田 ,租税公課,1600,07
1月1日,後藤 ,減価償却費,5800,14
1月1日,中川 ,地代家賃,9000,12
1月1日,石川 ,通信費,7100,13
1月1日,長谷川 ,消耗品費,7500,19
1月1日,加藤 ,広告費,3000,11
1月1日,松本 ,厚生費,8300,13
1月1日,西村 ,交際費,7500,10
1月1日,藤原 ,租税公課,8600,14
1月1日,井上 ,雑　費,3000,03
1月1日,佐々木 ,保険料,9300,14
1月1日,森 ,消耗品費,7200,07
1月1日,木村 ,給　料,9800,05
1月2日,遠藤 ,地代家賃,8300,12
1月2日,石井 ,地代家賃,8600,14
1月2日,阿部 ,光熱費,6700,04
1月2日,前田 ,消耗品費,9400,02
1月2日,田中 ,消耗品費,7300,02
1月2日,中島 ,交際費,6700,05
1月2日,福田 ,厚生費,1000,19
1月2日,木村 ,厚生費,9500,20
1月2日,佐藤 ,地代家賃,9500,04
1月2日,近藤 ,接待費,2000,18
1月2日,後藤 ,広告費,4400,04
1月2日,山口 ,地代家賃,500,02
1月2日,藤井 ,消耗品費,1600,07
1月2日,山田 ,雑　費,2600,08
1月2日,山田 ,消耗品費,6300,10
1月2日,村上 ,消耗品費,6600,16
1月2日,山崎 ,雑　費,8900,14
1月2日,加藤 ,光熱費,200,01
1月2日,藤田 ,給　料,9600,17
